"wiki";"label";"type";"code";"iso3"
"Q40811";"Sukumi";"capital_city";"CA_ABK";"ABK"
"Q31354462";"Republic of Abkhazia";"country_name";"NA_ABK";"ABK"
"Q5838";"Kabul";"capital_city";"CA_AFG";"AFG"
"Q889";"Afghanistan";"country_name";"NA_AFG";"AFG"
"Q3897";"Luanda";"capital_city";"CA_AGO";"AGO"
"Q916";"Angola";"country_name";"NA_AGO";"AGO"
"Q19689";"Tirana";"capital_city";"CA_ALB";"ALB"
"Q222";"Albania";"country_name";"NA_ALB";"ALB"
"Q1863";"Andorra la Vella";"capital_city";"CA_AND";"AND"
"Q228";"Andorra";"country_name";"NA_AND";"AND"
"Q1519";"Abu Dhabi";"capital_city";"CA_ARE";"ARE"
"Q878";"United Arab Emirates";"country_name";"NA_ARE";"ARE"
"Q1486";"Buenos Aires";"capital_city";"CA_ARG";"ARG"
"Q414";"Argentina";"country_name";"NA_ARG";"ARG"
"Q1953";"Yerevan";"capital_city";"CA_ARM";"ARM"
"Q399";"Armenia";"country_name";"NA_ARM";"ARM"
"Q36262";"Saint John s";"capital_city";"CA_ATG";"ATG"
"Q781";"Antigua and Barbuda";"country_name";"NA_ATG";"ATG"
"Q3114";"Canberra";"capital_city";"CA_AUS";"AUS"
"Q408";"Australia";"country_name";"NA_AUS";"AUS"
"Q1741";"Vienna";"capital_city";"CA_AUT";"AUT"
"Q40";"Austria";"country_name";"NA_AUT";"AUT"
"Q9248";"Baku";"capital_city";"CA_AZE";"AZE"
"Q227";"Azerbaijan";"country_name";"NA_AZE";"AZE"
"Q167551";"Gitega";"capital_city";"CA_BDI";"BDI"
"Q967";"Burundi";"country_name";"NA_BDI";"BDI"
"Q239";"Brussels";"capital_city";"CA_BEL";"BEL"
"Q31";"Belgium";"country_name";"NA_BEL";"BEL"
"Q3799";"Porto-Novo";"capital_city";"CA_BEN";"BEN"
"Q962";"Benin";"country_name";"NA_BEN";"BEN"
"Q3777";"Ouagadougou";"capital_city";"CA_BFA";"BFA"
"Q965";"Burkina Faso";"country_name";"NA_BFA";"BFA"
"Q1354";"Dhaka";"capital_city";"CA_BGD";"BGD"
"Q902";"Bangladesh";"country_name";"NA_BGD";"BGD"
"Q472";"Sofia";"capital_city";"CA_BGR";"BGR"
"Q219";"Bulgaria";"country_name";"NA_BGR";"BGR"
"Q3882";"Manama";"capital_city";"CA_BHR";"BHR"
"Q398";"Bahrain";"country_name";"NA_BHR";"BHR"
"Q2467";"Nassau";"capital_city";"CA_BHS";"BHS"
"Q778";"The Bahamas";"country_name";"NA_BHS";"BHS"
"Q11194";"Sarajevo";"capital_city";"CA_BIH";"BIH"
"Q225";"Bosnia and Herzegovina";"country_name";"NA_BIH";"BIH"
"Q2280";"Minsk";"capital_city";"CA_BLR";"BLR"
"Q184";"Belarus";"country_name";"NA_BLR";"BLR"
"Q3043";"Belmopan";"capital_city";"CA_BLZ";"BLZ"
"Q242";"Belize";"country_name";"NA_BLZ";"BLZ"
"Q1491";"La Paz";"capital_city";"CA_BOL";"BOL"
"Q750";"Bolivia";"country_name";"NA_BOL";"BOL"
"Q2844";"Brasília";"capital_city";"CA_BRA";"BRA"
"Q155";"Brazil";"country_name";"NA_BRA";"BRA"
"Q36168";"Bridgetown";"capital_city";"CA_BRB";"BRB"
"Q244";"Barbados";"country_name";"NA_BRB";"BRB"
"Q9279";"Bandar Seri Begawan";"capital_city";"CA_BRN";"BRN"
"Q921";"Brunei";"country_name";"NA_BRN";"BRN"
"Q9270";"Thimphu";"capital_city";"CA_BTN";"BTN"
"Q917";"Bhutan";"country_name";"NA_BTN";"BTN"
"Q3919";"Gaborone";"capital_city";"CA_BWA";"BWA"
"Q963";"Botswana";"country_name";"NA_BWA";"BWA"
"Q3832";"Bangui";"capital_city";"CA_CAF";"CAF"
"Q929";"Central African Republic";"country_name";"NA_CAF";"CAF"
"Q1930";"Ottawa";"capital_city";"CA_CAN";"CAN"
"Q16";"Canada";"country_name";"NA_CAN";"CAN"
"Q70";"Bern";"capital_city";"CA_CHE";"CHE"
"Q39";"Switzerland";"country_name";"NA_CHE";"CHE"
"Q2887";"Santiago";"capital_city";"CA_CHL";"CHL"
"Q298";"Chile";"country_name";"NA_CHL";"CHL"
"Q956";"Beijing";"capital_city";"CA_CHN";"CHN"
"Q148";"China";"country_name";"NA_CHN";"CHN"
"Q3768";"Yamoussoukro";"capital_city";"CA_CIV";"CIV"
"Q1008";"Côte d Ivoire";"country_name";"NA_CIV";"CIV"
"Q3808";"Yaoundé";"capital_city";"CA_CMR";"CMR"
"Q1009";"Cameroon";"country_name";"NA_CMR";"CMR"
"Q3838";"Kinshasa";"capital_city";"CA_COD";"COD"
"Q974";"Democratic Republic of the Congo";"country_name";"NA_COD";"COD"
"Q3844";"Brazzaville";"capital_city";"CA_COG";"COG"
"Q971";"Republic of the Congo";"country_name";"NA_COG";"COG"
"Q2841";"Bogotá";"capital_city";"CA_COL";"COL"
"Q739";"Colombia";"country_name";"NA_COL";"COL"
"Q3901";"Moroni";"capital_city";"CA_COM";"COM"
"Q970";"Comoros";"country_name";"NA_COM";"COM"
"Q3751";"Praia";"capital_city";"CA_CPV";"CPV"
"Q1011";"Cape Verde";"country_name";"NA_CPV";"CPV"
"Q3070";"San José";"capital_city";"CA_CRI";"CRI"
"Q800";"Costa Rica";"country_name";"NA_CRI";"CRI"
"Q1563";"Havana";"capital_city";"CA_CUB";"CUB"
"Q241";"Cuba";"country_name";"NA_CUB";"CUB"
"Q23681";"Northern Cyprus";"country_name";"CA_CYN";"CYN"
"Q3856";"Nicosia";"capital_city";"CA_CYP";"CYP"
"Q229";"Cyprus";"country_name";"NA_CYP";"CYP"
"Q1085";"Prague";"capital_city";"CA_CZE";"CZE"
"Q213";"Czech Republic";"country_name";"NA_CZE";"CZE"
"Q64";"Berlin";"capital_city";"CA_DEU";"DEU"
"Q183";"Germany";"country_name";"NA_DEU";"DEU"
"Q3604";"Djibouti";"capital_city";"CA_DJI";"DJI"
"Q977";"Djibouti";"country_name";"NA_DJI";"DJI"
"Q36281";"Roseau";"capital_city";"CA_DMA";"DMA"
"Q784";"Dominica";"country_name";"NA_DMA";"DMA"
"Q1748";"Copenhagen";"capital_city";"CA_DNK";"DNK"
"Q35";"Denmark";"country_name";"NA_DNK";"DNK"
"Q34820";"Santo Domingo";"capital_city";"CA_DOM";"DOM"
"Q786";"Dominican Republic";"country_name";"NA_DOM";"DOM"
"Q3561";"Algiers";"capital_city";"CA_DZA";"DZA"
"Q262";"Algeria";"country_name";"NA_DZA";"DZA"
"Q2900";"Quito";"capital_city";"CA_ECU";"ECU"
"Q736";"Ecuador";"country_name";"NA_ECU";"ECU"
"Q85";"Cairo";"capital_city";"CA_EGY";"EGY"
"Q79";"Egypt";"country_name";"NA_EGY";"EGY"
"Q3642";"Asmara";"capital_city";"CA_ERI";"ERI"
"Q986";"Eritrea";"country_name";"NA_ERI";"ERI"
"Q6250";"Western Sahara";"country_name";"NA_ESH";"ESH"
"Q2807";"Madrid";"capital_city";"CA_ESP";"ESP"
"Q29";"Spain";"country_name";"NA_ESP";"ESP"
"Q1770";"Tallinn";"capital_city";"CA_EST";"EST"
"Q191";"Estonia";"country_name";"NA_EST";"EST"
"Q3624";"Addis Ababa";"capital_city";"CA_ETH";"ETH"
"Q115";"Ethiopia";"country_name";"NA_ETH";"ETH"
"Q1757";"Helsinki";"capital_city";"CA_FIN";"FIN"
"Q33";"Finland";"country_name";"NA_FIN";"FIN"
"Q38807";"Suva";"capital_city";"CA_FJI";"FJI"
"Q712";"Fiji";"country_name";"NA_FJI";"FJI"
"Q90";"Paris";"capital_city";"CA_FRA";"FRA"
"Q142";"France";"country_name";"NA_FRA";"FRA"
"Q42751";"Palikir";"capital_city";"CA_FSM";"FSM"
"Q702";"Federated States of Micronesia";"country_name";"NA_FSM";"FSM"
"Q3825";"Libreville";"capital_city";"CA_GAB";"GAB"
"Q1000";"Gabon";"country_name";"NA_GAB";"GAB"
"Q84";"London";"capital_city";"CA_GBR";"GBR"
"Q145";"United Kingdom";"country_name";"NA_GBR";"GBR"
"Q994";"Tbilisi";"capital_city";"CA_GEO";"GEO"
"Q230";"Georgia";"country_name";"NA_GEO";"GEO"
"Q3761";"Accra";"capital_city";"CA_GHA";"GHA"
"Q117";"Ghana";"country_name";"NA_GHA";"GHA"
"Q3733";"Conakry";"capital_city";"CA_GIN";"GIN"
"Q1006";"Guinea";"country_name";"NA_GIN";"GIN"
"Q3726";"Banjul";"capital_city";"CA_GMB";"GMB"
"Q1005";"The Gambia";"country_name";"NA_GMB";"GMB"
"Q3739";"Bissau";"capital_city";"CA_GNB";"GNB"
"Q1007";"Guinea-Bissau";"country_name";"NA_GNB";"GNB"
"Q3818";"Malabo";"capital_city";"CA_GNQ";"GNQ"
"Q983";"Equatorial Guinea";"country_name";"NA_GNQ";"GNQ"
"Q1524";"Athens";"capital_city";"CA_GRC";"GRC"
"Q41";"Greece";"country_name";"NA_GRC";"GRC"
"Q41547";"St. George s";"capital_city";"CA_GRD";"GRD"
"Q769";"Grenada";"country_name";"NA_GRD";"GRD"
"Q1555";"Guatemala City";"capital_city";"CA_GTM";"GTM"
"Q774";"Guatemala";"country_name";"NA_GTM";"GTM"
"Q10717";"Georgetown";"capital_city";"CA_GUY";"GUY"
"Q734";"Guyana";"country_name";"NA_GUY";"GUY"
"Q3238";"Tegucigalpa";"capital_city";"CA_HND";"HND"
"Q783";"Honduras";"country_name";"NA_HND";"HND"
"Q1435";"Zagreb";"capital_city";"CA_HRV";"HRV"
"Q224";"Croatia";"country_name";"NA_HRV";"HRV"
"Q34261";"Port-au-Prince";"capital_city";"CA_HTI";"HTI"
"Q790";"Haiti";"country_name";"NA_HTI";"HTI"
"Q1781";"Budapest";"capital_city";"CA_HUN";"HUN"
"Q28";"Hungary";"country_name";"NA_HUN";"HUN"
"Q3630";"Jakarta";"capital_city";"CA_IDN";"IDN"
"Q252";"Indonesia";"country_name";"NA_IDN";"IDN"
"Q987";"New Delhi";"capital_city";"CA_IND";"IND"
"Q668";"India";"country_name";"NA_IND";"IND"
"Q1761";"Dublin";"capital_city";"CA_IRL";"IRL"
"Q27";"Ireland";"country_name";"NA_IRL";"IRL"
"Q3616";"Tehran";"capital_city";"CA_IRN";"IRN"
"Q794";"Iran";"country_name";"NA_IRN";"IRN"
"Q1530";"Baghdad";"capital_city";"CA_IRQ";"IRQ"
"Q796";"Iraq";"country_name";"NA_IRQ";"IRQ"
"Q1764";"Reykjavík";"capital_city";"CA_ISL";"ISL"
"Q189";"Iceland";"country_name";"NA_ISL";"ISL"
"Q1218";"Jerusalem";"capital_city";"CA_ISR";"ISR"
"Q801";"Israel";"country_name";"NA_ISR";"ISR"
"Q220";"Rome";"capital_city";"CA_ITA";"ITA"
"Q38";"Italy";"country_name";"NA_ITA";"ITA"
"Q34692";"Kingston";"capital_city";"CA_JAM";"JAM"
"Q766";"Jamaica";"country_name";"NA_JAM";"JAM"
"Q3805";"Amman";"capital_city";"CA_JOR";"JOR"
"Q810";"Jordan";"country_name";"NA_JOR";"JOR"
"Q1490";"Tokyo";"capital_city";"CA_JPN";"JPN"
"Q17";"Japan";"country_name";"NA_JPN";"JPN"
"Q1520";"Nur-Sultan";"capital_city";"CA_KAZ";"KAZ"
"Q232";"Kazakhstan";"country_name";"NA_KAZ";"KAZ"
"Q3870";"Nairobi";"capital_city";"CA_KEN";"KEN"
"Q114";"Kenya";"country_name";"NA_KEN";"KEN"
"Q9361";"Bishkek";"capital_city";"CA_KGZ";"KGZ"
"Q813";"Kyrgyzstan";"country_name";"NA_KGZ";"KGZ"
"Q1850";"Phnom Penh";"capital_city";"CA_KHM";"KHM"
"Q424";"Cambodia";"country_name";"NA_KHM";"KHM"
"Q131233";"South Tarawa";"capital_city";"CA_KIR";"KIR"
"Q710";"Kiribati";"country_name";"NA_KIR";"KIR"
"Q41295";"Basseterre";"capital_city";"CA_KNA";"KNA"
"Q763";"Saint Kitts and Nevis";"country_name";"NA_KNA";"KNA"
"Q8684";"Seoul";"capital_city";"CA_KOR";"KOR"
"Q884";"South Korea";"country_name";"NA_KOR";"KOR"
"Q25270";"Pristina";"capital_city";"CA_KOS";"KOS"
"Q1246";"Kosovo";"country_name";"NA_KOS";"KOS"
"Q35178";"Kuwait City";"capital_city";"CA_KWT";"KWT"
"Q817";"Kuwait";"country_name";"NA_KWT";"KWT"
"Q9326";"Vientiane";"capital_city";"CA_LAO";"LAO"
"Q819";"Laos";"country_name";"NA_LAO";"LAO"
"Q3820";"Beirut";"capital_city";"CA_LBN";"LBN"
"Q822";"Lebanon";"country_name";"NA_LBN";"LBN"
"Q3748";"Monrovia";"capital_city";"CA_LBR";"LBR"
"Q1014";"Liberia";"country_name";"NA_LBR";"LBR"
"Q3579";"Tripoli";"capital_city";"CA_LBY";"LBY"
"Q1016";"Libya";"country_name";"NA_LBY";"LBY"
"Q41699";"Castries";"capital_city";"CA_LCA";"LCA"
"Q760";"Saint Lucia";"country_name";"NA_LCA";"LCA"
"Q1844";"Vaduz";"capital_city";"CA_LIE";"LIE"
"Q347";"Liechtenstein";"country_name";"NA_LIE";"LIE"
"Q35381";"Colombo";"capital_city";"CA_LKA";"LKA"
"Q854";"Sri Lanka";"country_name";"NA_LKA";"LKA"
"Q3909";"Maseru";"capital_city";"CA_LSO";"LSO"
"Q1013";"Lesotho";"country_name";"NA_LSO";"LSO"
"Q216";"Vilnius";"capital_city";"CA_LTU";"LTU"
"Q37";"Lithuania";"country_name";"NA_LTU";"LTU"
"Q1842";"Luxembourg";"capital_city";"CA_LUX";"LUX"
"Q32";"Luxembourg";"country_name";"NA_LUX";"LUX"
"Q1773";"Riga";"capital_city";"CA_LVA";"LVA"
"Q211";"Latvia";"country_name";"NA_LVA";"LVA"
"Q3551";"Rabat";"capital_city";"CA_MAR";"MAR"
"Q1028";"Morocco";"country_name";"NA_MAR";"MAR"
"Q55115";"Monaco City";"capital_city";"CA_MCO";"MCO"
"Q235";"Monaco";"country_name";"NA_MCO";"MCO"
"Q21197";"Chișinău";"capital_city";"CA_MDA";"MDA"
"Q217";"Moldova";"country_name";"NA_MDA";"MDA"
"Q3915";"Antananarivo";"capital_city";"CA_MDG";"MDG"
"Q1019";"Madagascar";"country_name";"NA_MDG";"MDG"
"Q9347";"Malé";"capital_city";"CA_MDV";"MDV"
"Q826";"Maldives";"country_name";"NA_MDV";"MDV"
"Q1489";"Mexico City";"capital_city";"CA_MEX";"MEX"
"Q96";"Mexico";"country_name";"NA_MEX";"MEX"
"Q12919";"Majuro";"capital_city";"CA_MHL";"MHL"
"Q709";"Marshall Islands";"country_name";"NA_MHL";"MHL"
"Q384";"Skopje";"capital_city";"CA_MKD";"MKD"
"Q221";"North Macedonia";"country_name";"NA_MKD";"MKD"
