"id";"lang";"label";"type";"code";"iso3"
"Q31354462";"fr";"Abkhazie";"country_name";"NA_ABK";"ABK"
"Q40811";"fr";"Sokhoumi";"capital_city";"CA_ABK";"ABK"
"Q40811";"fr";"Soukhoum";"capital_city";"CA_ABK";"ABK"
"Q40811";"fr";"Soukhoumi";"capital_city";"CA_ABK";"ABK"
"Q40811";"fr";"Suhumi";"capital_city";"CA_ABK";"ABK"
"Q40811";"fr";"Sukhumi";"capital_city";"CA_ABK";"ABK"
"Q40811";"fr";"Tskhoumi";"capital_city";"CA_ABK";"ABK"
"Q5838";"fr";"Kaboul";"capital_city";"CA_AFG";"AFG"
"Q889";"fr";"Afghanistan";"country_name";"NA_AFG";"AFG"
"Q889";"fr";"pays des Cavaliers";"country_name";"NA_AFG";"AFG"
"Q3897";"fr";"Luanda";"capital_city";"CA_AGO";"AGO"
"Q916";"fr";"Angola";"country_name";"NA_AGO";"AGO"
"Q916";"fr";"République d Angola";"country_name";"NA_AGO";"AGO"
"Q19689";"fr";"Tirana";"capital_city";"CA_ALB";"ALB"
"Q19689";"fr";"Tiranë";"capital_city";"CA_ALB";"ALB"
"Q222";"fr";"Albanie";"country_name";"NA_ALB";"ALB"
"Q222";"fr";"la République d Albanie";"country_name";"NA_ALB";"ALB"
"Q222";"fr";"République d Albanie";"country_name";"NA_ALB";"ALB"
"Q1863";"fr";"Andorre-la-Vieille";"capital_city";"CA_AND";"AND"
"Q1863";"fr";"Andorre-la-vieille";"capital_city";"CA_AND";"AND"
"Q228";"fr";"Andorre";"country_name";"NA_AND";"AND"
"Q228";"fr";"la Principauté d Andorre";"country_name";"NA_AND";"AND"
"Q228";"fr";"Principauté d Andorre";"country_name";"NA_AND";"AND"
"Q1519";"fr";"Abou Dabi";"capital_city";"CA_ARE";"ARE"
"Q1519";"fr";"Aboû Dabî";"capital_city";"CA_ARE";"ARE"
"Q1519";"fr";"Abou Dhabi";"capital_city";"CA_ARE";"ARE"
"Q1519";"fr";"Abu Dhabi";"capital_city";"CA_ARE";"ARE"
"Q878";"fr";"É.A.U.";"country_name";"NA_ARE";"ARE"
"Q878";"fr";"Émir. ar. unis";"country_name";"NA_ARE";"ARE"
"Q878";"fr";"Émirats";"country_name";"NA_ARE";"ARE"
"Q878";"fr";"Émirats arabes unis";"country_name";"NA_ARE";"ARE"
"Q878";"fr";"Émirats Arabes Unis";"country_name";"NA_ARE";"ARE"
