"id";"lang";"label";"desc"
"Q40811";"fr";"Soukhoumi";"ville de la Géorgie"
"Q31354462";"fr";"Abkhazie";"république avec reconnaissance limitée du Caucase"
"Q5838";"fr";"Kaboul";"capitale de l'Afghanistan"
"Q889";"fr";"Afghanistan";"pays d'Asie centrale"
"Q3897";"fr";"Luanda";"capitale de l'Angola"
"Q916";"fr";"Angola";"pays d'Afrique du sud-ouest"
"Q19689";"fr";"Tirana";"capitale de l’Albanie"
"Q222";"fr";"Albanie";"pays d'Europe"
"Q1863";"fr";"Andorre-la-Vieille";"capitale de l'Andorre"
"Q228";"fr";"Andorre";"principauté d'Europe"
"Q1519";"fr";"Abou Dabi";"capitale des Émirats arabes unis"
"Q878";"fr";"Émirats arabes unis";"État fédéral du golfe Persique"
"Q1486";"fr";"Buenos Aires";"capitale de l’Argentine"
"Q414";"fr";"Argentine";"pays d’Amérique du Sud"
"Q1953";"fr";"Erevan";"capitale de l'Arménie"
"Q399";"fr";"Arménie";"pays du Caucase"
"Q36262";"fr";"Saint John's";"capitale d'Antigua-et-Barbuda"
"Q781";"fr";"Antigua-et-Barbuda";"pays des Antilles"
"Q3114";"fr";"Canberra";"capitale de l'Australie"
"Q408";"fr";"Australie";"pays d'Océanie"
"Q1741";"fr";"Vienne";"capitale de l'Autriche"
"Q40";"fr";"Autriche";"pays d'Europe"
"Q9248";"fr";"Bakou";"capitale de l'Azerbaïdjan"
"Q227";"fr";"Azerbaïdjan";"pays du Caucase"
"Q167551";"fr";"Gitega";"capitale du Burundi"
"Q967";"fr";"Burundi";"pays d'Afrique de l'Est"
"Q239";"fr";"Bruxelles";"ville, capitale de la Belgique"
"Q31";"fr";"Belgique";"État d'Europe occidentale"
"Q3799";"fr";"Porto-Novo";"capitale du Bénin"
"Q962";"fr";"Bénin";"pays d'Afrique de l'Ouest, indépendant depuis 1960"
"Q3777";"fr";"Ouagadougou";"capitale du Burkina Faso"
"Q965";"fr";"Burkina Faso";"pays d'Afrique de l'Ouest"
"Q1354";"fr";"Dacca";"capitale du Bangladesh"
"Q902";"fr";"Bangladesh";"pays d'Asie du Sud"
"Q472";"fr";"Sofia";"capitale de la Bulgarie"
"Q219";"fr";"Bulgarie";"pays d'Europe"
"Q3882";"fr";"Manama";"capitale de Bahreïn"
"Q398";"fr";"Bahreïn";"pays du Moyen-Orient"
"Q2467";"fr";"Nassau";"capitale des Bahamas"
"Q778";"fr";"Bahamas";"État insulaire au large des Caraïbes"
"Q11194";"fr";"Sarajevo";"capitale de la Bosnie-Herzégovine"
"Q225";"fr";"Bosnie-Herzégovine";"État d'Europe du Sud"
"Q2280";"fr";"Minsk";"capitale de la Biélorussie"
"Q184";"fr";"Biélorussie";"pays d'Europe orientale"
"Q3043";"fr";"Belmopan";"capitale du Belize"
"Q242";"fr";"Belize";"pays d'Amérique centrale"
"Q1491";"fr";"La Paz";"capitale administrative de la Bolivie"
"Q750";"fr";"Bolivie";"pays d'Amérique du Sud"
"Q2844";"fr";"Brasilia";"capitale du Brésil"
"Q155";"fr";"Brésil";"pays d'Amérique du Sud"
"Q36168";"fr";"Bridgetown";"capitale de la Barbade"
"Q244";"fr";"Barbade";"pays insulaire des Petites Antilles"
"Q9279";"fr";"Bandar Seri Begawan";"capitale de Brunei"
"Q921";"fr";"Brunei";"micro-État membre du Commonwealth, situé sur l’île de Bornéo et enclavé dans l’État malais de Sarawak"
"Q9270";"fr";"Thimphou";"capitale du Bhoutan"
"Q917";"fr";"Bhoutan";"pays d'Asie"
"Q3919";"fr";"Gaborone";"capitale du Botswana"
"Q963";"fr";"Botswana";"pays d'Afrique australe"
"Q3832";"fr";"Bangui";"capitale de la République centrafricaine"
"Q929";"fr";"République centrafricaine";"État d'Afrique centrale"
"Q1930";"fr";"Ottawa";"capitale du Canada"
"Q16";"fr";"Canada";"pays d'Amérique du Nord"
"Q70";"fr";"Berne";"capitale ''de facto'' de la Suisse et chef-lieu du canton de Berne"
"Q39";"fr";"Suisse";"pays d'Europe centrale"
"Q2887";"fr";"Santiago";"capitale du Chili"
"Q298";"fr";"Chili";"pays d'Amérique du Sud"
"Q956";"fr";"Pékin";"capitale de la Chine (République populaire de Chine)"
"Q148";"fr";"République populaire de Chine";"pays d'Asie"
"Q3768";"fr";"Yamoussoukro";"capitale de la Côte d'Ivoire"
"Q1008";"fr";"Côte d'Ivoire";"pays d'Afrique de l'Ouest"
"Q3808";"fr";"Yaoundé";"capitale du Cameroun"
"Q1009";"fr";"Cameroun";"pays d'Afrique"
"Q3838";"fr";"Kinshasa";"capitale de la république démocratique du Congo"
