"id";"lang";"label"
"Q40811";"fr";"Soukhoumi"
"Q40811";"fr";"Suhumi"
"Q40811";"fr";"Tskhoumi"
"Q40811";"fr";"<U+10E1><U+10DD><U+10EE><U+10E3><U+10DB><U+10D8>"
"Q40811";"fr";"Sukhumi"
"Q40811";"fr";"<U+0410><U+049F><U+0259><U+0430>"
"Q40811";"fr";"Sokhoumi"
"Q40811";"fr";"Soukhoum"
"Q31354462";"fr";"Abkhazie"
"Q5838";"fr";"Kaboul"
"Q889";"fr";"Afghanistan"
"Q889";"fr";"pays des Cavaliers"
"Q889";"fr";"AF"
"Q889";"fr";"Af."
"Q3897";"fr";"Luanda"
"Q916";"fr";"Angola"
"Q916";"fr";"AO"
"Q916";"fr";"République d’Angola"
"Q19689";"fr";"Tirana"
"Q19689";"fr";"Tiranë"
"Q222";"fr";"Albanie"
"Q222";"fr";"République d'Albanie"
"Q222";"fr";"AL"
"Q222";"fr";"la République d’Albanie"
"Q1863";"fr";"Andorre-la-Vieille"
"Q1863";"fr";"Andorre-la-vieille"
"Q228";"fr";"Andorre"
"Q228";"fr";"Principauté d'Andorre"
"Q228";"fr";"AD"
"Q228";"fr";"la Principauté d’Andorre"
"Q1519";"fr";"Abou Dabi"
"Q1519";"fr";"Aboû Dabî"
"Q1519";"fr";"Abu Dhabi"
"Q1519";"fr";"Abou Dhabi"
"Q878";"fr";"Émirats arabes unis"
"Q878";"fr";"É.A.U."
"Q878";"fr";"AE"
"Q878";"fr";"les Émirats arabes unis"
"Q878";"fr";"Émirats Arabes Unis"
"Q878";"fr";"Émirats"
"Q878";"fr";"Émir. ar. unis"
"Q1486";"fr";"Buenos Aires"
"Q414";"fr";"Argentine"
"Q414";"fr";"République argentine"
"Q414";"fr";"AR"
"Q414";"fr";"la République argentine"
"Q414";"fr";"Arg."
"Q1953";"fr";"Erevan"
"Q1953";"fr";"Iérevan"
"Q1953";"fr";"Yerevan"
"Q399";"fr";"Arménie"
"Q399";"fr";"AM"
"Q399";"fr";"la République d’Arménie"
