id;lang;label
Q1000;fr;Gabon
Q1000;fr;la République gabonaise
Q1000;fr;République gabonaise
Q1005;fr;Gambie
Q1005;fr;la République de Gambie
Q1006;fr;Guinée
Q1006;fr;Guinée-Conakry
Q1006;fr;la République de Guinée
Q1006;fr;République de Guinée
Q1007;fr;Guinée Bissau
Q1007;fr;Guinée-Bissao
Q1007;fr;Guinée-bissao
Q1007;fr;Guinée-Bissau
Q1007;fr;la République de Guinée-Bissao
Q1007;fr;la République de Guinée-Bissau
Q1008;fr;Côte d Ivoire
Q1008;fr;Côte D ivoire
Q1008;fr;Côte-d Ivoire
Q1008;fr;la République de Côte d Ivoire
Q1009;fr;Cameroun
Q1009;fr;la République du Cameroun
Q1009;fr;République du Cameroun
Q1011;fr;Cabo Verde
Q1011;fr;Cap-V.
Q1011;fr;Cap-Vert
Q1011;fr;Cap-vert
Q1011;fr;îles du Cap-Vert
Q1011;fr;la République du Cap-Vert
Q1013;fr;le Royaume du Lesotho
Q1013;fr;Lesotho
Q1014;fr;la République du Libéria
Q1014;fr;Liberia
Q1014;fr;Libéria
Q1016;fr;l État de Libye
Q1016;fr;Libye
Q1019;fr;la République de Madagascar
Q1019;fr;Madagascar
Q1020;fr;la République du Malawi
Q1020;fr;Malawi
Q1020;fr;République du Malawi
Q1025;fr;la République islamique de Mauritanie
Q1025;fr;Mauritanie
Q1025;fr;République islamique de Mauritanie
Q1027;fr;île Maurice
Q1027;fr;la République de Maurice
Q1027;fr;Maurice
Q1027;fr;République de Maurice
Q1028;fr;le Royaume du Maroc
Q1028;fr;Maroc
Q1028;fr;Royaume du Maroc
Q1029;fr;la République du Mozambique
Q1029;fr;Moz.
Q1029;fr;Mozambique
Q1029;fr;république du Mozambique
Q1030;fr;la République de Namibie
Q1030;fr;Namibie
Q1030;fr;République de Namibie
Q1032;fr;la République du Niger
Q1032;fr;Niger
Q1032;fr;République du Niger
Q1033;fr;la République fédérale du Nigéria
Q1033;fr;Nigeria
Q1033;fr;Nigéria
Q1033;fr;République fédérale du Nigeria
Q1033;fr;République fédérale du Nigéria
Q1033;fr;République fédérale nigériane
Q1036;fr;Ouganda
Q1036;fr;République d Ouganda
Q1037;fr;la République du Rwanda
Q1037;fr;République Rwandaise
Q1037;fr;Rwanda
Q1039;fr;la République démocratique de Sao Tomé-et-Principe
Q1039;fr;Saint-Thomas-et-Île-du-Prince
Q1039;fr;Saint-Thomas-et-Prince
Q1039;fr;São Tomé e Príncipe
Q1039;fr;São Tomé et Príncipe
Q1039;fr;Sao Tomé-et-Pr.
Q1039;fr;Sao Tomé-et-Principe
Q1039;fr;Sao Tomé-et-principe
Q1041;fr;la République du Sénégal
Q1041;fr;république du Sénégal
Q1041;fr;Sén.
Q1041;fr;Sénégal
Q1042;fr;la République des Seychelles
Q1042;fr;Repiblik Sesel
Q1042;fr;République des Seychelles
Q1042;fr;Seychelles
Q1044;fr;la République de Sierra Leone
Q1044;fr;Sierra Leone
Q1045;fr;la République fédérale de Somalie
Q1045;fr;Somalie
Q1049;fr;la République du Soudan
Q1049;fr;Soudan
Q1050;fr;Eswatini
Q1050;fr;Ngwané
Q1050;fr;Royaume d Eswatini
Q1050;fr;Royaume du Swaziland
Q10717;fr;Georgetown
Q1085;fr;Prague
Q11194;fr;Sarajevo
Q114;fr;Kenya
Q114;fr;Kénya
Q114;fr;la République du Kenya
Q115;fr;Éthiopie
Q115;fr;la République démocratique fédérale d Éthiopie
Q115;fr;République fédérale démocratique d Éthiopie
Q117;fr;Ghana
Q117;fr;la République du Ghana
Q117;fr;République du Ghana
Q1218;fr;Al Quds
Q1218;fr;Hiérosolyme
Q1218;fr;Jerusalem
Q1218;fr;Jérusalem
Q1218;fr;Salem
Q1218;fr;Solyme
Q1218;fr;Yerushaláyim
Q1246;fr;Kosovo
Q1246;fr;Kossovo
Q1246;fr;la République du Kosovo
Q12919;fr;Majuro
Q131233;fr;Bairiki
Q131233;fr;Tarawa sud
Q131233;fr;Tarawa-Sud
Q1335;fr;Montevideo
Q1335;fr;San Felipe y Santiago de Montevideo
Q1354;fr;Dacca
Q1354;fr;Dhaka
Q1362;fr;Islamabad
Q142;fr;Fille aînée de l Église
Q142;fr;France
Q142;fr;L Hexagone
Q142;fr;La France
Q142;fr;la République française
Q142;fr;Pays de Molière
Q142;fr;République française
Q1435;fr;Zagreb
Q145;fr;Grande-Bretagne
Q145;fr;le Royaume-Uni de Grande-Bretagne et d Irlande du Nord
Q145;fr;R.-U.
Q145;fr;R.U.
Q145;fr;Royaume Uni
Q145;fr;Royaume-Uni
Q145;fr;Royaume-uni
Q145;fr;Royaume-Uni de Grande-Bretagne et d Irlande du Nord
Q1461;fr;Manille
Q1461;fr;Ville de Manille
Q148;fr;Chine
Q148;fr;Chine communiste
Q148;fr;Chine continentale
Q148;fr;Chine populaire
Q148;fr;la République populaire de Chine
Q148;fr;République populaire de Chine
Q1486;fr;Buenos Aires
Q1489;fr;Cité de Mexico
Q1489;fr;Cité du Mexique
Q1489;fr;Ciudad de México
Q1489;fr;Mexico
Q1489;fr;Mexico City
Q1489;fr;ville de Mexico
Q1490;fr;métropole de Tokyo
Q1490;fr;préfecture de Tokyo
Q1490;fr;préfecture métropolitaine de Tokyo
Q1490;fr;Tokyo
Q1490;fr;Tôkyô
Q1490;fr;Tokyo Metropolis
Q1490;fr;Tokyo-to
Q1490;fr;Tôkyô-to
Q1491;fr;La Paz
Q1519;fr;Abou Dabi
Q1519;fr;Aboû Dabî
Q1519;fr;Abou Dhabi
Q1519;fr;Abu Dhabi
Q1520;fr;Akmola
Q1520;fr;Akmolinsk
Q1520;fr;Astana
Q1520;fr;Noursoultan
Q1520;fr;Tselinograd
Q1524;fr;Athenes
Q1524;fr;Athènes
Q1530;fr;Bagdad
Q1533;fr;Caracas
Q155;fr;Amérique lusophone
Q155;fr;Auriverde
Q155;fr;Brasil
Q155;fr;Brazil
Q155;fr;Bré.
Q155;fr;Brés.
Q155;fr;Brésil
Q155;fr;Brésilien
Q155;fr;Brésilienne
Q155;fr;Brézil
Q155;fr;la République fédérative du Brésil
Q155;fr;République des États-Unis du Brésil
Q155;fr;République fédérative du Brésil
Q1555;fr;Guatemala-Ville
Q1563;fr;La Havane
Q158119;fr;Ramallah
Q159;fr;Fédération de Russie
Q159;fr;Rus.
Q159;fr;Russie
Q159583;fr;Chaire de Pierre
Q159583;fr;Saint siege
Q159583;fr;Saint Siège
Q159583;fr;Saint-Siege
Q159583;fr;Saint-Siège
Q159583;fr;Saint-Siège de Rome
Q159583;fr;Sancta Sedes
